setting,metric,method_a,method_b,n,mean_a,mean_b,mean_diff,sd_diff,ci95_low,ci95_high,cohens_dz,p_sign_exact,per_seed_diffs
secondary_resnet18_fixed,best_test_acc_pct,tgies,ies_alg1,3,91.91333333333334,91.76666666666667,0.14666666666666117,0.18583146486354984,-0.3149642832480503,0.6082976165813727,0.7892456036675697,1.0,-0.0600;0.3000;0.2000
secondary_resnet18_fixed,backprop_saved_pct,tgies,baseline,3,29.27445333333333,0.031999999999998696,29.242453333333334,0.2960789228116956,28.506952515494724,29.977954151171943,98.76573805265886,0.25,29.5424;29.2346;28.9504
secondary_resnet18_fixed,backprop_saved_pct,tgies,ies_shipped,3,29.27445333333333,44.49984,-15.225386666666665,0.07845244504369078,-15.420273343986047,-15.030499989347284,-194.07153796401792,0.25,-15.1373;-15.2877;-15.2512
secondary_resnet18_fixed,backprop_saved_pct,tgies,ies_alg1,3,29.27445333333333,49.41717333333333,-20.14272,0.13597402104814374,-20.48049819351673,-19.80494180648327,-148.13653258711938,0.25,-20.0256;-20.1107;-20.2918
secondary_resnet18_fixed,flop_saved_pct,tgies,baseline,3,19.505928663331872,0.02132199396241985,19.48460666936945,0.1972810313935076,18.994533419453408,19.974679919285496,98.7657380526584,0.25,19.6845;19.4793;19.2900
secondary_resnet18_fixed,flop_saved_pct,tgies,ies_shipped,3,19.505928663331872,29.650791244027175,-10.144862580695301,0.05227382998621746,-10.274717973106574,-10.015007188284029,-194.07153796402713,0.25,-10.0862;-10.1864;-10.1621
secondary_resnet18_fixed,flop_saved_pct,tgies,ies_alg1,3,19.505928663331872,32.92727098291979,-13.421342319587913,0.09060116424484511,-13.646408088425483,-13.196276550750342,-148.13653258712444,0.25,-13.3433;-13.4000;-13.5207
secondary_vgg16_exp,best_test_acc_pct,tgies,baseline,3,93.11333333333334,93.3,-0.18666666666666268,0.1167618659209219,-0.4767192211060687,0.1033858877727433,-1.5986954747116193,0.25,-0.2900;-0.0600;-0.2100
secondary_vgg16_exp,best_test_acc_pct,tgies,ies_shipped,3,93.11333333333334,93.31333333333333,-0.1999999999999981,0.14730919862656777,-0.565936335609737,0.16593633560974083,-1.3576884666041984,0.25,-0.3700;-0.1200;-0.1100
secondary_vgg16_exp,best_test_acc_pct,tgies,ies_alg1,3,93.11333333333334,93.15333333333332,-0.03999999999999678,0.18330302779823587,-0.49534996404873827,0.41534996404874475,-0.21821789023597213,1.0,-0.0800;-0.2000;0.1600
